treatment,tree_id,deploy,metabolite,hfa,site_num,tree_num,decomp_day,well_id,time,od_raw,od_corrected
AB,HOK,SEK ,SEK,A,1,1,7,3H,30,0.405,0.4211073564
P,HOK,HOK ,SEK,A,1,1,7,4A,30,1.325,1.377696907
AB,HOK,HOK ,SEK,A,1,1,7,4B,30,1.077,1.119833637
P,SEK,HOK ,SEK,H,1,1,7,4C,30,0.353,0.3670392514
AB,SEK,HOK ,SEK,H,1,1,7,4D,30,0.351,0.3649597089
P,SEK,SEK ,SEK,H,1,1,7,4E,30,0.361,0.3753574214
AB,SEK,SEK ,SEK,H,1,1,7,4F,30,0.705,0.7330387315
P,HOK,SEK ,SEK,A,1,1,7,4G,30,0.968,1.00649857
AB,HOK,SEK ,SEK,A,1,1,7,4H,30,0.461,0.4793345464
P,HOK,HOK ,SEK,A,1,1,7,5A,30,0.654,0.6800103977
AB,HOK,HOK ,SEK,A,1,1,7,5B,30,0.445,0.4626982064
P,SEK,HOK ,SEK,H,1,1,7,5C,30,1.212,1.260202755
AB,SEK,HOK ,SEK,H,1,1,7,5D,30,1.027,1.067845074
P,SEK,SEK ,SEK,H,1,1,7,5E,30,0.391,0.4065505589
AB,SEK,SEK ,SEK,H,1,1,7,5F,30,0.41,0.4263062126
P,HOK,SEK ,SEK,A,1,1,7,5G,30,0.486,0.5053288277
AB,HOK,SEK ,SEK,A,1,1,7,5H,30,0.42,0.4367039251
P,HOK,HOK ,HOK,H,1,5,7,6A,30,0.433,0.4502209514
AB,HOK,HOK ,HOK,H,1,5,7,6B,30,0.98,1.018975825
P,SEK,HOK ,HOK,A,1,5,7,6C,30,1.551,1.612685209
AB,SEK,HOK ,HOK,A,1,5,7,6D,30,0.696,0.7236807902
P,SEK,SEK ,HOK,A,1,5,7,6E,30,1.694,1.761372498
AB,SEK,SEK ,HOK,A,1,5,7,6F,30,1.37,1.424486613
P,HOK,SEK ,HOK,H,1,5,7,6G,30,0.937,0.9742656616
AB,HOK,SEK ,HOK,H,1,5,7,6H,30,0.816,0.8484533403
P,HOK,HOK ,HOK,H,1,5,7,7A,30,0.577,0.5999480114
AB,HOK,HOK ,HOK,H,1,5,7,7B,30,0.298,0.3098518326
P,SEK,HOK ,HOK,A,1,5,7,7C,30,0.262,0.2724200676
AB,SEK,HOK ,HOK,A,1,5,7,7D,30,0.298,0.3098518326
P,SEK,SEK ,HOK,A,1,5,7,7E,30,0.291,0.3025734338
AB,SEK,SEK ,HOK,A,1,5,7,7F,30,0.329,0.3420847414
P,HOK,SEK ,HOK,H,1,5,7,7G,30,0.415,0.4315050689
AB,HOK,SEK ,HOK,H,1,5,7,7H,30,1.019,1.059526904
P,HOK,HOK ,HOK,H,1,5,7,8A,30,0.428,0.4450220951
AB,HOK,HOK ,HOK,H,1,5,7,8B,30,0.361,0.3753574214
P,SEK,HOK ,HOK,A,1,5,7,8C,30,0.327,0.3400051989
AB,SEK,HOK ,HOK,A,1,5,7,8D,30,1.508,1.567975045
P,SEK,SEK ,HOK,A,1,5,7,8E,30,1.405,1.460878607
AB,SEK,SEK ,HOK,A,1,5,7,8F,30,0.487,0.5063685989
P,HOK,SEK ,HOK,H,1,5,7,8G,30,0.386,0.4013517026
AB,HOK,SEK ,HOK,H,1,5,7,8H,30,0.461,0.4793345464
P,HOK,HOK ,HOK,H,1,4,7,9A,30,0.36,0.3743176501
AB,HOK,HOK ,HOK,H,1,4,7,9B,30,0.461,0.4793345464
P,SEK,HOK ,HOK,A,1,4,7,9C,30,0.877,0.9118793865
AB,SEK,HOK ,HOK,A,1,4,7,9D,30,0.599,0.6228229789
P,SEK,SEK ,HOK,A,1,4,7,9E,30,0.505,0.5250844814
AB,SEK,SEK ,HOK,A,1,4,7,9FR,30,1.047,1.088640499
P,HOK,SEK ,HOK,H,1,4,7,9G,30,1.633,1.697946452
AB,HOK,SEK ,HOK,H,1,4,7,9H,30,0.391,0.4065505589
P,HOK,HOK ,HOK,H,1,4,7,10A,30,0.798,0.8297374578
AB,HOK,HOK ,HOK,H,1,4,7,10B,30,0.645,0.6706524565
P,SEK,HOK ,HOK,A,1,4,7,10C,30,1.361,1.415128672
AB,SEK,HOK ,HOK,A,1,4,7,10D,30,0.399,0.4148687289
P,SEK,SEK ,HOK,A,1,4,7,10E,30,0.464,0.4824538602
AB,SEK,SEK ,HOK,A,1,4,7,10F,30,1.041,1.082401872
P,HOK,SEK ,HOK,H,1,4,7,10G,30,0.46,0.4782947751
AB,HOK,SEK ,HOK,H,1,4,7,10H,30,0.423,0.4398232389
P,HOK,HOK ,SEK,A,2,5,7,1A,120,0.666,0.9881305638
AB,HOK,HOK ,SEK,A,2,5,7,1B,120,1.085,1.609792285
P,SEK,HOK ,SEK,H,2,5,7,1C,120,1.628,2.415430267
AB,SEK,HOK ,SEK,H,2,5,7,1D,120,1.303,1.933234421
P,SEK,SEK ,SEK,H,2,5,7,1E,120,0.591,0.8768545994
AB,SEK,SEK ,SEK,H,2,5,7,1F,120,0.471,0.6988130564
P,HOK,SEK ,SEK,A,2,5,7,1G,120,1.453,2.15578635
AB,HOK,SEK ,SEK,A,2,5,7,1H,120,1.041,1.544510386
P,HOK,HOK ,SEK,A,2,5,7,2A,120,0.408,0.6053412463
AB,HOK,HOK ,SEK,A,2,5,7,2B,120,0.757,1.123145401
P,SEK,HOK ,SEK,H,2,5,7,2C,120,0.292,0.4332344214
AB,SEK,HOK ,SEK,H,2,5,7,2D,120,0.791,1.173590504
P,SEK,SEK ,SEK,H,2,5,7,2E,120,0.455,0.675074184
AB,SEK,SEK ,SEK,H,2,5,7,2F,120,0.45,0.6676557864
P,HOK,SEK ,SEK,A,2,5,7,2G,120,0.342,0.5074183976
AB,HOK,SEK ,SEK,A,2,5,7,2H,120,2.019,2.995548961
P,HOK,HOK ,SEK,A,2,5,7,3A,120,1.135,1.683976261
AB,HOK,HOK ,SEK,A,2,5,7,3B,120,1.387,2.057863501
P,SEK,HOK ,SEK,H,2,5,7,3C,120,1.235,1.832344214
AB,SEK,HOK ,SEK,H,2,5,7,3D,120,0.332,0.4925816024
P,SEK,SEK ,SEK,H,2,5,7,3E,120,1.395,2.069732938
AB,SEK,SEK ,SEK,H,2,5,7,3F,120,0.319,0.4732937685
P,HOK,SEK ,SEK,A,2,5,7,3G,120,0.326,0.4836795252
AB,HOK,SEK ,SEK,A,2,5,7,3H,120,0.35,0.5192878338
P,HOK,HOK ,SEK,A,2,4,7,4A,120,0.399,0.5919881306
AB,HOK,HOK ,SEK,A,2,4,7,4B,120,1.166,1.729970326
P,SEK,HOK ,SEK,H,2,4,7,4C,120,1.794,2.661721068
AB,SEK,HOK ,SEK,H,2,4,7,4D,120,1.775,2.633531157
P,SEK,SEK ,SEK,H,2,4,7,4E,120,1.265,1.876854599
AB,SEK,SEK ,SEK,H,2,4,7,4F,120,0.464,0.6884272997
P,HOK,SEK ,SEK,A,2,4,7,4G,120,0.357,0.5296735905
AB,HOK,SEK ,SEK,A,2,4,7,4H,120,1.075,1.59495549
P,HOK,HOK ,SEK,A,2,4,7,5A,120,0.882,1.308605341
AB,HOK,HOK ,SEK,A,2,4,7,5B,120,0.464,0.6884272997
P,SEK,HOK ,SEK,H,2,4,7,5C,120,0.643,0.9540059347
AB,SEK,HOK ,SEK,H,2,4,7,5D,120,0.821,1.21810089
P,SEK,SEK ,SEK,H,2,4,7,5E,120,0.625,0.9272997033
AB,SEK,SEK ,SEK,H,2,4,7,5F,120,0.485,0.7195845697
P,HOK,SEK ,SEK,A,2,4,7,5G,120,0.437,0.6483679525
AB,HOK,SEK ,SEK,A,2,4,7,5H,120,0.619,0.9183976261
P,HOK,HOK ,HOK,H,2,4,7,6A,120,1.141,1.692878338
AB,HOK,HOK ,HOK,H,2,4,7,6B,120,0.459,0.6810089021
P,SEK,HOK ,HOK,A,2,4,7,6C,120,0.472,0.7002967359
AB,SEK,HOK ,HOK,A,2,4,7,6D,120,0.858,1.272997033
P,SEK,SEK ,HOK,A,2,4,7,6E,120,0.555,0.8234421365
AB,SEK,SEK ,HOK,A,2,4,7,6F,120,0.924,1.370919881
P,HOK,SEK ,HOK,H,2,4,7,6G,120,1.247,1.850148368
AB,HOK,SEK ,HOK,H,2,4,7,6H,120,0.544,0.8071216617
P,HOK,HOK ,HOK,H,2,3,7,7A,120,0.284,0.4213649852
AB,HOK,HOK ,HOK,H,2,3,7,7B,120,0.235,0.3486646884
P,SEK,HOK ,HOK,A,2,3,7,7C,120,0.257,0.381305638
AB,SEK,HOK ,HOK,A,2,3,7,7D,120,0.517,0.7670623145
P,SEK,SEK ,HOK,A,2,3,7,7E,120,0.269,0.3991097923
AB,SEK,SEK ,HOK,A,2,3,7,7F,120,0.365,0.5415430267
P,HOK,SEK ,HOK,H,2,3,7,7G,120,0.245,0.3635014837
AB,HOK,SEK ,HOK,H,2,3,7,7H,120,0.548,0.8130563798
P,HOK,HOK ,HOK,H,2,3,7,8A,120,0.333,0.4940652819
AB,HOK,HOK ,HOK,H,2,3,7,8B,120,0.689,1.022255193
P,SEK,HOK ,HOK,A,2,3,7,8C,120,0.335,0.4970326409
AB,SEK,HOK ,HOK,A,2,3,7,8D,120,0.757,1.123145401
P,SEK,SEK ,HOK,A,2,3,7,8E,120,0.32,0.4747774481
AB,SEK,SEK ,HOK,A,2,3,7,8F,120,0.622,0.9228486647
P,HOK,SEK ,HOK,H,2,3,7,8G,120,1.949,2.891691395
AB,HOK,SEK ,HOK,H,2,3,7,8H,120,0.439,0.6513353116
P,HOK,HOK ,HOK,H,2,3,7,9A,120,0.428,0.6350148368
AB,HOK,HOK ,HOK,H,2,3,7,9B,120,0.405,0.6008902077
P,SEK,HOK ,HOK,A,2,3,7,9C,120,1.026,1.522255193
AB,SEK,HOK ,HOK,A,2,3,7,9D,120,0.385,0.5712166172
P,SEK,SEK ,HOK,A,2,3,7,9E,120,0.479,0.7106824926
AB,SEK,SEK ,HOK,A,2,3,7,9F,120,0.443,0.6572700297
P,HOK,SEK ,HOK,H,2,3,7,9G,120,0.502,0.7448071217
AB,HOK,SEK ,HOK,H,2,3,7,9H,120,0.747,1.108308605
P,HOK,HOK ,HOK,H,2,2,7,10A,120,0.467,0.6928783383
AB,HOK,HOK ,HOK,H,2,2,7,10B,120,0.977,1.449554896
P,SEK,HOK ,HOK,A,2,2,7,10C,120,0.477,0.7077151335
AB,SEK,HOK ,HOK,A,2,2,7,10D,120,0.629,0.9332344214
P,SEK,SEK ,HOK,A,2,2,7,10E,120,0.428,0.6350148368
AB,SEK,SEK ,HOK,A,2,2,7,10F,120,0.585,0.8679525223
P,HOK,SEK ,HOK,H,2,2,7,10G,120,0.423,0.6275964392
AB,HOK,SEK ,HOK,H,2,2,7,10H,120,0.431,0.6394658754
P,HOK,HOK ,SEK,A,1,5,7,1A,120,0.56,0.5900948367
AB,HOK,HOK ,SEK,A,1,5,7,1B,120,1.294,1.363540569
P,SEK,HOK ,SEK,H,1,5,7,1C,120,0.807,0.8503688093
AB,SEK,HOK ,SEK,H,1,5,7,1D,120,0.399,0.4204425711
P,SEK,SEK ,SEK,H,1,5,7,1E,120,0.343,0.3614330875
AB,SEK,SEK ,SEK,H,1,5,7,1F,120,0.355,0.3740779768
P,HOK,SEK ,SEK,A,1,5,7,1G,120,0.408,0.4299262381
AB,HOK,SEK ,SEK,A,1,5,7,1H,120,0.362,0.3814541623
P,HOK,HOK ,SEK,A,1,5,7,2A,120,0.437,0.4604847208
AB,HOK,HOK ,SEK,A,1,1,7,2B,120,0.893,0.9409905163
P,SEK,HOK ,SEK,H,1,1,7,2C,120,0.505,0.5321390938
AB,SEK,HOK ,SEK,H,1,1,7,2D,120,0.413,0.435194942
P,SEK,SEK ,SEK,H,1,1,7,2E,120,0.728,0.7671232877
AB,SEK,SEK ,SEK,H,1,1,7,2F,120,0.631,0.664910432
P,HOK,SEK ,SEK,A,1,1,7,2G,120,0.954,1.005268704
AB,HOK,SEK ,SEK,A,1,1,7,2H,120,0.621,0.6543730242
P,HOK,HOK ,SEK,A,1,1,7,3A,120,0.666,0.7017913593
AB,HOK,HOK ,SEK,A,1,1,7,3B,120,0.166,0.1749209694
P,SEK,HOK ,SEK,H,1,1,7,3C,120,1.291,1.360379347
AB,SEK,HOK ,SEK,H,1,1,7,3D,120,0.393,0.4141201264
P,SEK,SEK ,SEK,H,1,1,7,3E,120,0.485,0.5110642782
AB,SEK,SEK ,SEK,H,1,1,7,3F,120,0.458,0.4826132771
P,HOK,SEK ,SEK,A,1,1,7,3G,120,0.291,0.3066385669
AB,HOK,SEK ,SEK,A,1,1,7,3H,120,0.356,0.3751317176
P,HOK,HOK ,SEK,A,1,1,7,4A,120,1.104,1.163329821
AB,HOK,HOK ,SEK,A,1,1,7,4B,120,1.214,1.279241307
P,SEK,HOK ,SEK,H,1,1,7,4C,120,0.362,0.3814541623
AB,SEK,HOK ,SEK,H,1,1,7,4D,120,0.356,0.3751317176
P,SEK,SEK ,SEK,H,1,1,7,4E,120,0.344,0.3624868282
AB,SEK,SEK ,SEK,H,1,1,7,4F,120,0.553,0.5827186512
P,HOK,SEK ,SEK,A,1,1,7,4G,120,0.652,0.6870389884
AB,HOK,SEK ,SEK,A,1,1,7,4H,120,0.502,0.5289778714
P,HOK,HOK ,SEK,A,1,1,7,5A,120,0.936,0.9863013699
AB,HOK,HOK ,SEK,A,1,1,7,5B,120,0.412,0.4341412013
P,SEK,HOK ,SEK,H,1,1,7,5C,120,1.146,1.207586934
AB,SEK,HOK ,SEK,H,1,1,7,5D,120,1.575,1.659641728
P,SEK,SEK ,SEK,H,1,1,7,5E,120,0.41,0.4320337197
AB,SEK,SEK ,SEK,H,1,1,7,5F,120,0.48,0.5057955743
P,HOK,SEK ,SEK,A,1,1,7,5G,120,0.486,0.512118019
AB,HOK,SEK ,SEK,A,1,1,7,5H,120,0.422,0.4446786091
P,HOK,HOK ,HOK,H,1,5,7,6A,120,0.458,0.4826132771
AB,HOK,HOK ,HOK,H,1,5,7,6B,120,1.109,1.168598525
P,SEK,HOK ,HOK,A,1,5,7,6C,120,1.627,1.714436249
AB,SEK,HOK ,HOK,A,1,5,7,6D,120,0.894,0.9420442571
P,SEK,SEK ,HOK,A,1,5,7,6E,120,1.781,1.876712329
AB,SEK,SEK ,HOK,A,1,5,7,6F,120,1.489,1.569020021
P,HOK,SEK ,HOK,H,1,5,7,6G,120,1.607,1.693361433
AB,HOK,SEK ,HOK,H,1,5,7,6H,120,0.861,0.9072708114
P,HOK,HOK ,HOK,H,1,5,7,7A,120,0.907,0.9557428872
AB,HOK,HOK ,HOK,H,1,5,7,7B,120,0.289,0.3045310854
P,SEK,HOK ,HOK,A,1,5,7,7C,120,0.225,0.2370916754
AB,SEK,HOK ,HOK,A,1,5,7,7D,120,0.252,0.2655426765
P,SEK,SEK ,HOK,A,1,5,7,7E,120,0.25,0.2634351949
AB,SEK,SEK ,HOK,A,1,5,7,7F,120,0.33,0.3477344573
P,HOK,SEK ,HOK,H,1,5,7,7G,120,0.433,0.4562697576
AB,HOK,SEK ,HOK,H,1,5,7,7H,120,1.521,1.602739726
P,HOK,HOK ,HOK,H,1,5,7,8A,120,0.435,0.4583772392
AB,HOK,HOK ,HOK,H,1,5,7,8B,120,0.459,0.4836670179
P,SEK,HOK ,HOK,A,1,5,7,8C,120,0.309,0.3256059009
AB,SEK,HOK ,HOK,A,1,5,7,8D,120,0.937,0.9873551106
P,SEK,SEK ,HOK,A,1,5,7,8E,120,1.525,1.606954689
AB,SEK,SEK ,HOK,A,1,5,7,8F,120,0.544,0.5732349842
P,HOK,SEK ,HOK,H,1,5,7,8G,120,0.406,0.4278187566
AB,HOK,SEK ,HOK,H,1,5,7,8H,120,0.472,0.4973656481
P,HOK,HOK ,HOK,H,1,4,7,9A,120,0.326,0.3435194942
AB,HOK,HOK ,HOK,H,1,4,7,9B,120,0.491,0.5173867229
P,SEK,HOK ,HOK,A,1,4,7,9C,120,1.136,1.197049526
AB,SEK,HOK ,HOK,A,1,4,7,9D,120,0.316,0.3329820864
P,SEK,SEK ,HOK,A,1,4,7,9E,120,0.558,0.5879873551
AB,SEK,SEK ,HOK,A,1,4,7,9FR,120,0.997,1.050579557
P,HOK,SEK ,HOK,H,1,4,7,9G,120,1.386,1.460484721
AB,HOK,SEK ,HOK,H,1,4,7,9H,120,0.491,0.5173867229
P,HOK,HOK ,HOK,H,1,4,7,10A,120,0.853,0.8988408851
AB,HOK,HOK ,HOK,H,1,4,7,10B,120,0.703,0.7407797682
P,SEK,HOK ,HOK,A,1,4,7,10C,120,1.093,1.151738672
AB,SEK,HOK ,HOK,A,1,4,7,10D,120,0.419,0.4415173867
P,SEK,SEK ,HOK,A,1,4,7,10E,120,0.608,0.6406743941
AB,SEK,SEK ,HOK,A,1,4,7,10F,120,0.686,0.7228661749
P,HOK,SEK ,HOK,H,1,4,7,10G,120,0.466,0.4910432034
AB,HOK,SEK ,HOK,H,1,4,7,10H,120,0.428,0.4510010537
P,HOK,HOK ,SEK,A,2,5,7,1A,960,0.692,1.292250233
AB,HOK,HOK ,SEK,A,2,5,7,1B,960,1.745,3.258636788
P,SEK,HOK ,SEK,H,2,5,7,1C,960,1.408,2.629318394
AB,SEK,HOK ,SEK,H,2,5,7,1D,960,1.159,2.1643324
P,SEK,SEK ,SEK,H,2,5,7,1E,960,0.687,1.282913165
AB,SEK,SEK ,SEK,H,2,5,7,1F,960,0.523,0.9766573296
P,HOK,SEK ,SEK,A,2,5,7,1G,960,1.453,2.713352007
AB,HOK,SEK ,SEK,A,2,5,7,1H,960,0.641,1.197012138
P,HOK,HOK ,SEK,A,2,5,7,2A,960,0.418,0.7805788982
AB,HOK,HOK ,SEK,A,2,5,7,2B,960,0.937,1.749766573
P,SEK,HOK ,SEK,H,2,5,7,2C,960,0.286,0.5340802988
AB,SEK,HOK ,SEK,H,2,5,7,2D,960,0.722,1.348272642
P,SEK,SEK ,SEK,H,2,5,7,2E,960,0.461,0.8608776844
AB,SEK,SEK ,SEK,H,2,5,7,2F,960,0.58,1.083099907
P,HOK,SEK ,SEK,A,2,5,7,2G,960,0.347,0.6479925303
AB,HOK,SEK ,SEK,A,2,5,7,2H,960,1.841,3.437908497
P,HOK,HOK ,SEK,A,2,5,7,3A,960,1.234,2.304388422
AB,HOK,HOK ,SEK,A,2,5,7,3B,960,1.649,3.079365079
P,SEK,HOK ,SEK,H,2,5,7,3C,960,1.204,2.248366013
AB,SEK,HOK ,SEK,H,2,5,7,3D,960,0.339,0.6330532213
P,SEK,SEK ,SEK,H,2,5,7,3E,960,1.972,3.682539683
AB,SEK,SEK ,SEK,H,2,5,7,3F,960,0.329,0.614379085
P,HOK,SEK ,SEK,A,2,5,7,3G,960,0.34,0.6349206349
AB,HOK,SEK ,SEK,A,2,5,7,3H,960,0.418,0.7805788982
P,HOK,HOK ,SEK,A,2,4,7,4A,960,0.464,0.8664799253
AB,HOK,HOK ,SEK,A,2,4,7,4B,960,1.418,2.64799253
P,SEK,HOK ,SEK,H,2,4,7,4C,960,1.375,2.567693744
AB,SEK,HOK ,SEK,H,2,4,7,4D,960,1.491,2.784313725
P,SEK,SEK ,SEK,H,2,4,7,4E,960,0.876,1.635854342
AB,SEK,SEK ,SEK,H,2,4,7,4F,960,0.423,0.7899159664
P,HOK,SEK ,SEK,A,2,4,7,4G,960,0.471,0.8795518207
AB,HOK,SEK ,SEK,A,2,4,7,4H,960,0.939,1.753501401
P,HOK,HOK ,SEK,A,2,4,7,5A,960,1.412,2.636788049
AB,HOK,HOK ,SEK,A,2,4,7,5B,960,0.595,1.111111111
P,SEK,HOK ,SEK,H,2,4,7,5C,960,0.679,1.267973856
