treatment,tree_id,deploy,metabolite,site_num,tree_num,decomp_day,well_id,time,od_raw,od_corrected_b,od_corrected_b_n,nm
AB,HOK,SEK,HOK,1,1,1,10H,120,,,,450
P,HOK,HOK,SEK,2,5,1,1A,960,,,,450
AB,HOK,HOK,SEK,2,5,1,1B,960,,,,450
P,SEK,HOK,SEK,2,5,1,1C,960,,,,450
AB,SEK,HOK,SEK,2,5,1,1D,960,,,,450
P,SEK,SEK,SEK,2,5,1,1E,960,,,,450
AB,SEK,SEK,SEK,2,5,1,1F,960,,,,450
P,HOK,SEK,SEK,2,5,1,1G,960,,,,450
AB,HOK,SEK,SEK,2,5,1,1H,960,,,,450
P,HOK,HOK,SEK,2,4,1,2A,960,,,,450
AB,HOK,HOK,SEK,2,4,1,2B,960,,,,450
P,SEK,HOK,SEK,2,4,1,2C,960,,,,450
AB,SEK,HOK,SEK,2,4,1,2D,960,,,,450
P,SEK,SEK,SEK,2,4,1,2E,960,,,,450
AB,SEK,SEK,SEK,2,4,1,2F,960,,,,450
P,HOK,SEK,SEK,2,4,1,2G,960,,,,450
AB,HOK,SEK,SEK,2,4,1,2H,960,,,,450
P,HOK,HOK,SEK,2,3,1,3A,960,,,,450
AB,HOK,HOK,SEK,2,3,1,3B,960,,,,450
P,SEK,HOK,SEK,2,3,1,3C,960,,,,450
AB,SEK,HOK,SEK,2,3,1,3D,960,,,,450
P,SEK,SEK,SEK,2,3,1,3E,960,,,,450
AB,SEK,SEK,SEK,2,3,1,3F,960,,,,450
P,HOK,SEK,SEK,2,3,1,3G,960,,,,450
AB,HOK,SEK,SEK,2,3,1,3H,960,,,,450
P,HOK,HOK,SEK,2,2,1,4A,960,,,,450
AB,HOK,HOK,SEK,2,2,1,4B,960,,,,450
P,SEK,HOK,SEK,2,2,1,4C,960,,,,450
AB,SEK,HOK,SEK,2,2,1,4D,960,,,,450
P,SEK,SEK,SEK,2,2,1,4E,960,,,,450
AB,SEK,SEK,SEK,2,2,1,4F,960,,,,450
P,HOK,SEK,SEK,2,2,1,4G,960,,,,450
AB,HOK,SEK,SEK,2,2,1,4H,960,,,,450
P,HOK,HOK,SEK,2,1,1,5A,960,,,,450
AB,HOK,HOK,SEK,2,1,1,5B,960,,,,450
P,SEK,HOK,SEK,2,1,1,5C,960,,,,450
AB,SEK,HOK,SEK,2,1,1,5D,960,,,,450
P,SEK,SEK,SEK,2,1,1,5E,960,,,,450
AB,SEK,SEK,SEK,2,1,1,5F,960,,,,450
P,HOK,SEK,SEK,2,1,1,5G,960,,,,450
