treatment,tree_id,deploy,metabolite,hfa,site_num,tree_num,decomp_day,well_id,time,od_raw
AB,HOK,HOK ,SEK,A,1,1,11,5B,960,
P,SEK,HOK ,SEK,H,1,1,11,5C,960,
AB,SEK,HOK ,SEK,H,1,1,11,5D,960,
P,SEK,SEK ,SEK,H,1,1,11,5E,960,
AB,SEK,SEK ,SEK,H,1,1,11,5F,960,
P,HOK,SEK ,SEK,A,1,1,11,5G,960,
AB,HOK,SEK ,SEK,A,1,1,11,5H,960,
P,HOK,HOK ,HOK,H,1,5,11,6A,960,
AB,HOK,HOK ,HOK,H,1,5,11,6B,960,
P,SEK,HOK ,HOK,A,1,5,11,6C,960,
AB,SEK,HOK ,HOK,A,1,5,11,6D,960,
P,SEK,SEK ,HOK,A,1,5,11,6E,960,
AB,SEK,SEK ,HOK,A,1,5,11,6F,960,
P,HOK,SEK ,HOK,H,1,5,11,6G,960,
AB,HOK,SEK ,HOK,H,1,5,11,6H,960,
P,HOK,HOK ,HOK,H,1,5,11,7A,960,
AB,HOK,HOK ,HOK,H,1,5,11,7B,960,
P,SEK,HOK ,HOK,A,1,5,11,7C,960,
AB,SEK,HOK ,HOK,A,1,5,11,7D,960,
P,SEK,SEK ,HOK,A,1,5,11,7E,960,
AB,SEK,SEK ,HOK,A,1,5,11,7F,960,
P,HOK,SEK ,HOK,H,1,5,11,7G,960,
AB,HOK,SEK ,HOK,H,1,5,11,7H,960,
P,HOK,HOK ,HOK,H,1,5,11,8A,960,
AB,HOK,HOK ,HOK,H,1,5,11,8B,960,
P,SEK,HOK ,HOK,A,1,5,11,8C,960,
AB,SEK,HOK ,HOK,A,1,5,11,8D,960,
P,SEK,SEK ,HOK,A,1,5,11,8E,960,
AB,SEK,SEK ,HOK,A,1,5,11,8F,960,
P,HOK,SEK ,HOK,H,1,5,11,8G,960,
AB,HOK,SEK ,HOK,H,1,5,11,8H,960,
P,HOK,HOK ,HOK,H,1,4,11,9A,960,
AB,HOK,HOK ,HOK,H,1,4,11,9B,960,
P,SEK,HOK ,HOK,A,1,4,11,9C,960,
AB,SEK,HOK ,HOK,A,1,4,11,9D,960,
P,SEK,SEK ,HOK,A,1,4,11,9E,960,
AB,SEK,SEK ,HOK,A,1,4,11,9FR,960,
P,HOK,SEK ,HOK,H,1,4,11,9G,960,
AB,HOK,SEK ,HOK,H,1,4,11,9H,960,
P,HOK,HOK ,HOK,H,1,4,11,10A,960,
AB,HOK,HOK ,HOK,H,1,4,11,10B,960,
P,SEK,HOK ,HOK,A,1,4,11,10C,960,
AB,SEK,HOK ,HOK,A,1,4,11,10D,960,
P,SEK,SEK ,HOK,A,1,4,11,10E,960,
AB,SEK,SEK ,HOK,A,1,4,11,10F,960,
P,HOK,SEK ,HOK,H,1,4,11,10G,960,
AB,HOK,SEK ,HOK,H,1,4,11,10H,960,
P,HOK,HOK ,SEK,A,2,5,11,1A,1440,
AB,HOK,HOK ,SEK,A,2,5,11,1B,1440,
P,SEK,HOK ,SEK,H,2,5,11,1C,1440,
AB,SEK,HOK ,SEK,H,2,5,11,1D,1440,
P,SEK,SEK ,SEK,H,2,5,11,1E,1440,
AB,SEK,SEK ,SEK,H,2,5,11,1F,1440,
P,HOK,SEK ,SEK,A,2,5,11,1G,1440,
AB,HOK,SEK ,SEK,A,2,5,11,1H,1440,
P,HOK,HOK ,SEK,A,2,5,11,2A,1440,
AB,HOK,HOK ,SEK,A,2,5,11,2B,1440,
P,SEK,HOK ,SEK,H,2,5,11,2C,1440,
AB,SEK,HOK ,SEK,H,2,5,11,2D,1440,
P,SEK,SEK ,SEK,H,2,5,11,2E,1440,
AB,SEK,SEK ,SEK,H,2,5,11,2F,1440,
P,HOK,SEK ,SEK,A,2,5,11,2G,1440,
AB,HOK,SEK ,SEK,A,2,5,11,2H,1440,
P,HOK,HOK ,SEK,A,2,5,11,3A,1440,
AB,HOK,HOK ,SEK,A,2,5,11,3B,1440,
P,SEK,HOK ,SEK,H,2,5,11,3C,1440,
AB,SEK,HOK ,SEK,H,2,5,11,3D,1440,
P,SEK,SEK ,SEK,H,2,5,11,3E,1440,
AB,SEK,SEK ,SEK,H,2,5,11,3F,1440,
P,HOK,SEK ,SEK,A,2,5,11,3G,1440,
AB,HOK,SEK ,SEK,A,2,5,11,3H,1440,
P,HOK,HOK ,SEK,A,2,4,11,4A,1440,
AB,HOK,HOK ,SEK,A,2,4,11,4B,1440,
P,SEK,HOK ,SEK,H,2,4,11,4C,1440,
AB,SEK,HOK ,SEK,H,2,4,11,4D,1440,
P,SEK,SEK ,SEK,H,2,4,11,4E,1440,
AB,SEK,SEK ,SEK,H,2,4,11,4F,1440,
P,HOK,SEK ,SEK,A,2,4,11,4G,1440,
AB,HOK,SEK ,SEK,A,2,4,11,4H,1440,
P,HOK,HOK ,SEK,A,2,4,11,5A,1440,
AB,HOK,HOK ,SEK,A,2,4,11,5B,1440,
P,SEK,HOK ,SEK,H,2,4,11,5C,1440,
AB,SEK,HOK ,SEK,H,2,4,11,5D,1440,
P,SEK,SEK ,SEK,H,2,4,11,5E,1440,
AB,SEK,SEK ,SEK,H,2,4,11,5F,1440,
P,HOK,SEK ,SEK,A,2,4,11,5G,1440,
AB,HOK,SEK ,SEK,A,2,4,11,5H,1440,
P,HOK,HOK ,HOK,H,2,4,11,6A,1440,
AB,HOK,HOK ,HOK,H,2,4,11,6B,1440,
P,SEK,HOK ,HOK,A,2,4,11,6C,1440,
AB,SEK,HOK ,HOK,A,2,4,11,6D,1440,
P,SEK,SEK ,HOK,A,2,4,11,6E,1440,
AB,SEK,SEK ,HOK,A,2,4,11,6F,1440,
P,HOK,SEK ,HOK,H,2,4,11,6G,1440,
AB,HOK,SEK ,HOK,H,2,4,11,6H,1440,
P,HOK,HOK ,HOK,H,2,3,11,7A,1440,
AB,HOK,HOK ,HOK,H,2,3,11,7B,1440,
P,SEK,HOK ,HOK,A,2,3,11,7C,1440,
AB,SEK,HOK ,HOK,A,2,3,11,7D,1440,
P,SEK,SEK ,HOK,A,2,3,11,7E,1440,
AB,SEK,SEK ,HOK,A,2,3,11,7F,1440,
P,HOK,SEK ,HOK,H,2,3,11,7G,1440,
AB,HOK,SEK ,HOK,H,2,3,11,7H,1440,
P,HOK,HOK ,HOK,H,2,3,11,8A,1440,
AB,HOK,HOK ,HOK,H,2,3,11,8B,1440,
P,SEK,HOK ,HOK,A,2,3,11,8C,1440,
AB,SEK,HOK ,HOK,A,2,3,11,8D,1440,
P,SEK,SEK ,HOK,A,2,3,11,8E,1440,
AB,SEK,SEK ,HOK,A,2,3,11,8F,1440,
P,HOK,SEK ,HOK,H,2,3,11,8G,1440,
AB,HOK,SEK ,HOK,H,2,3,11,8H,1440,
P,HOK,HOK ,HOK,H,2,3,11,9A,1440,
AB,HOK,HOK ,HOK,H,2,3,11,9B,1440,
P,SEK,HOK ,HOK,A,2,3,11,9C,1440,
AB,SEK,HOK ,HOK,A,2,3,11,9D,1440,
P,SEK,SEK ,HOK,A,2,3,11,9E,1440,
AB,SEK,SEK ,HOK,A,2,3,11,9F,1440,
P,HOK,SEK ,HOK,H,2,3,11,9G,1440,
AB,HOK,SEK ,HOK,H,2,3,11,9H,1440,
P,HOK,HOK ,HOK,H,2,2,11,10A,1440,
AB,HOK,HOK ,HOK,H,2,2,11,10B,1440,
P,SEK,HOK ,HOK,A,2,2,11,10C,1440,
AB,SEK,HOK ,HOK,A,2,2,11,10D,1440,
P,SEK,SEK ,HOK,A,2,2,11,10E,1440,
AB,SEK,SEK ,HOK,A,2,2,11,10F,1440,
P,HOK,SEK ,HOK,H,2,2,11,10G,1440,
AB,HOK,SEK ,HOK,H,2,2,11,10H,1440,
P,HOK,HOK ,SEK,A,1,5,11,1A,1440,
AB,HOK,HOK ,SEK,A,1,5,11,1B,1440,
P,SEK,HOK ,SEK,H,1,5,11,1C,1440,
AB,SEK,HOK ,SEK,H,1,5,11,1D,1440,
P,SEK,SEK ,SEK,H,1,5,11,1E,1440,
AB,SEK,SEK ,SEK,H,1,5,11,1F,1440,
P,HOK,SEK ,SEK,A,1,5,11,1G,1440,
AB,HOK,SEK ,SEK,A,1,5,11,1H,1440,
P,HOK,HOK ,SEK,A,1,5,11,2A,1440,
AB,HOK,HOK ,SEK,A,1,1,11,2B,1440,
P,SEK,HOK ,SEK,H,1,1,11,2C,1440,
AB,SEK,HOK ,SEK,H,1,1,11,2D,1440,
P,SEK,SEK ,SEK,H,1,1,11,2E,1440,
AB,SEK,SEK ,SEK,H,1,1,11,2F,1440,
P,HOK,SEK ,SEK,A,1,1,11,2G,1440,
AB,HOK,SEK ,SEK,A,1,1,11,2H,1440,
P,HOK,HOK ,SEK,A,1,1,11,3A,1440,
AB,HOK,HOK ,SEK,A,1,1,11,3B,1440,
P,SEK,HOK ,SEK,H,1,1,11,3C,1440,
AB,SEK,HOK ,SEK,H,1,1,11,3D,1440,
P,SEK,SEK ,SEK,H,1,1,11,3E,1440,
AB,SEK,SEK ,SEK,H,1,1,11,3F,1440,
P,HOK,SEK ,SEK,A,1,1,11,3G,1440,
AB,HOK,SEK ,SEK,A,1,1,11,3H,1440,
P,HOK,HOK ,SEK,A,1,1,11,4A,1440,
AB,HOK,HOK ,SEK,A,1,1,11,4B,1440,
P,SEK,HOK ,SEK,H,1,1,11,4C,1440,
AB,SEK,HOK ,SEK,H,1,1,11,4D,1440,
P,SEK,SEK ,SEK,H,1,1,11,4E,1440,
AB,SEK,SEK ,SEK,H,1,1,11,4F,1440,
P,HOK,SEK ,SEK,A,1,1,11,4G,1440,
AB,HOK,SEK ,SEK,A,1,1,11,4H,1440,
P,HOK,HOK ,SEK,A,1,1,11,5A,1440,
AB,HOK,HOK ,SEK,A,1,1,11,5B,1440,
P,SEK,HOK ,SEK,H,1,1,11,5C,1440,
AB,SEK,HOK ,SEK,H,1,1,11,5D,1440,
P,SEK,SEK ,SEK,H,1,1,11,5E,1440,
AB,SEK,SEK ,SEK,H,1,1,11,5F,1440,
P,HOK,SEK ,SEK,A,1,1,11,5G,1440,
AB,HOK,SEK ,SEK,A,1,1,11,5H,1440,
P,HOK,HOK ,HOK,H,1,5,11,6A,1440,
AB,HOK,HOK ,HOK,H,1,5,11,6B,1440,
P,SEK,HOK ,HOK,A,1,5,11,6C,1440,
AB,SEK,HOK ,HOK,A,1,5,11,6D,1440,
P,SEK,SEK ,HOK,A,1,5,11,6E,1440,
AB,SEK,SEK ,HOK,A,1,5,11,6F,1440,
P,HOK,SEK ,HOK,H,1,5,11,6G,1440,
AB,HOK,SEK ,HOK,H,1,5,11,6H,1440,
P,HOK,HOK ,HOK,H,1,5,11,7A,1440,
AB,HOK,HOK ,HOK,H,1,5,11,7B,1440,
P,SEK,HOK ,HOK,A,1,5,11,7C,1440,
AB,SEK,HOK ,HOK,A,1,5,11,7D,1440,
P,SEK,SEK ,HOK,A,1,5,11,7E,1440,
AB,SEK,SEK ,HOK,A,1,5,11,7F,1440,
P,HOK,SEK ,HOK,H,1,5,11,7G,1440,
AB,HOK,SEK ,HOK,H,1,5,11,7H,1440,
P,HOK,HOK ,HOK,H,1,5,11,8A,1440,
AB,HOK,HOK ,HOK,H,1,5,11,8B,1440,
P,SEK,HOK ,HOK,A,1,5,11,8C,1440,
AB,SEK,HOK ,HOK,A,1,5,11,8D,1440,
P,SEK,SEK ,HOK,A,1,5,11,8E,1440,
AB,SEK,SEK ,HOK,A,1,5,11,8F,1440,
P,HOK,SEK ,HOK,H,1,5,11,8G,1440,
AB,HOK,SEK ,HOK,H,1,5,11,8H,1440,
P,HOK,HOK ,HOK,H,1,4,11,9A,1440,
AB,HOK,HOK ,HOK,H,1,4,11,9B,1440,
P,SEK,HOK ,HOK,A,1,4,11,9C,1440,
AB,SEK,HOK ,HOK,A,1,4,11,9D,1440,
P,SEK,SEK ,HOK,A,1,4,11,9E,1440,
AB,SEK,SEK ,HOK,A,1,4,11,9FR,1440,
P,HOK,SEK ,HOK,H,1,4,11,9G,1440,
AB,HOK,SEK ,HOK,H,1,4,11,9H,1440,
P,HOK,HOK ,HOK,H,1,4,11,10A,1440,
AB,HOK,HOK ,HOK,H,1,4,11,10B,1440,
P,SEK,HOK ,HOK,A,1,4,11,10C,1440,
AB,SEK,HOK ,HOK,A,1,4,11,10D,1440,
P,SEK,SEK ,HOK,A,1,4,11,10E,1440,
AB,SEK,SEK ,HOK,A,1,4,11,10F,1440,
P,HOK,SEK ,HOK,H,1,4,11,10G,1440,
AB,HOK,SEK ,HOK,H,1,4,11,10H,1440,
P,HOK,HOK ,SEK,A,2,5,11,1A,2880,
AB,HOK,HOK ,SEK,A,2,5,11,1B,2880,
P,SEK,HOK ,SEK,H,2,5,11,1C,2880,
AB,SEK,HOK ,SEK,H,2,5,11,1D,2880,
P,SEK,SEK ,SEK,H,2,5,11,1E,2880,
AB,SEK,SEK ,SEK,H,2,5,11,1F,2880,
P,HOK,SEK ,SEK,A,2,5,11,1G,2880,
AB,HOK,SEK ,SEK,A,2,5,11,1H,2880,
P,HOK,HOK ,SEK,A,2,5,11,2A,2880,
AB,HOK,HOK ,SEK,A,2,5,11,2B,2880,
P,SEK,HOK ,SEK,H,2,5,11,2C,2880,
AB,SEK,HOK ,SEK,H,2,5,11,2D,2880,
P,SEK,SEK ,SEK,H,2,5,11,2E,2880,
AB,SEK,SEK ,SEK,H,2,5,11,2F,2880,
P,HOK,SEK ,SEK,A,2,5,11,2G,2880,
AB,HOK,SEK ,SEK,A,2,5,11,2H,2880,
P,HOK,HOK ,SEK,A,2,5,11,3A,2880,
AB,HOK,HOK ,SEK,A,2,5,11,3B,2880,
P,SEK,HOK ,SEK,H,2,5,11,3C,2880,
AB,SEK,HOK ,SEK,H,2,5,11,3D,2880,
P,SEK,SEK ,SEK,H,2,5,11,3E,2880,
AB,SEK,SEK ,SEK,H,2,5,11,3F,2880,
P,HOK,SEK ,SEK,A,2,5,11,3G,2880,
AB,HOK,SEK ,SEK,A,2,5,11,3H,2880,
P,HOK,HOK ,SEK,A,2,4,11,4A,2880,
AB,HOK,HOK ,SEK,A,2,4,11,4B,2880,
P,SEK,HOK ,SEK,H,2,4,11,4C,2880,
AB,SEK,HOK ,SEK,H,2,4,11,4D,2880,
P,SEK,SEK ,SEK,H,2,4,11,4E,2880,
AB,SEK,SEK ,SEK,H,2,4,11,4F,2880,
P,HOK,SEK ,SEK,A,2,4,11,4G,2880,
AB,HOK,SEK ,SEK,A,2,4,11,4H,2880,
P,HOK,HOK ,SEK,A,2,4,11,5A,2880,
AB,HOK,HOK ,SEK,A,2,4,11,5B,2880,
P,SEK,HOK ,SEK,H,2,4,11,5C,2880,
AB,SEK,HOK ,SEK,H,2,4,11,5D,2880,
P,SEK,SEK ,SEK,H,2,4,11,5E,2880,
AB,SEK,SEK ,SEK,H,2,4,11,5F,2880,
P,HOK,SEK ,SEK,A,2,4,11,5G,2880,
AB,HOK,SEK ,SEK,A,2,4,11,5H,2880,
P,HOK,HOK ,HOK,H,2,4,11,6A,2880,
AB,HOK,HOK ,HOK,H,2,4,11,6B,2880,
P,SEK,HOK ,HOK,A,2,4,11,6C,2880,
AB,SEK,HOK ,HOK,A,2,4,11,6D,2880,
P,SEK,SEK ,HOK,A,2,4,11,6E,2880,
AB,SEK,SEK ,HOK,A,2,4,11,6F,2880,
P,HOK,SEK ,HOK,H,2,4,11,6G,2880,
AB,HOK,SEK ,HOK,H,2,4,11,6H,2880,
P,HOK,HOK ,HOK,H,2,3,11,7A,2880,
AB,HOK,HOK ,HOK,H,2,3,11,7B,2880,
P,SEK,HOK ,HOK,A,2,3,11,7C,2880,
AB,SEK,HOK ,HOK,A,2,3,11,7D,2880,
P,SEK,SEK ,HOK,A,2,3,11,7E,2880,
AB,SEK,SEK ,HOK,A,2,3,11,7F,2880,
P,HOK,SEK ,HOK,H,2,3,11,7G,2880,
AB,HOK,SEK ,HOK,H,2,3,11,7H,2880,
P,HOK,HOK ,HOK,H,2,3,11,8A,2880,
AB,HOK,HOK ,HOK,H,2,3,11,8B,2880,
P,SEK,HOK ,HOK,A,2,3,11,8C,2880,
AB,SEK,HOK ,HOK,A,2,3,11,8D,2880,
P,SEK,SEK ,HOK,A,2,3,11,8E,2880,
AB,SEK,SEK ,HOK,A,2,3,11,8F,2880,
P,HOK,SEK ,HOK,H,2,3,11,8G,2880,
AB,HOK,SEK ,HOK,H,2,3,11,8H,2880,
P,HOK,HOK ,HOK,H,2,3,11,9A,2880,
AB,HOK,HOK ,HOK,H,2,3,11,9B,2880,
P,SEK,HOK ,HOK,A,2,3,11,9C,2880,
AB,SEK,HOK ,HOK,A,2,3,11,9D,2880,
P,SEK,SEK ,HOK,A,2,3,11,9E,2880,
AB,SEK,SEK ,HOK,A,2,3,11,9F,2880,
P,HOK,SEK ,HOK,H,2,3,11,9G,2880,
AB,HOK,SEK ,HOK,H,2,3,11,9H,2880,
P,HOK,HOK ,HOK,H,2,2,11,10A,2880,
AB,HOK,HOK ,HOK,H,2,2,11,10B,2880,
P,SEK,HOK ,HOK,A,2,2,11,10C,2880,
AB,SEK,HOK ,HOK,A,2,2,11,10D,2880,
P,SEK,SEK ,HOK,A,2,2,11,10E,2880,
AB,SEK,SEK ,HOK,A,2,2,11,10F,2880,
P,HOK,SEK ,HOK,H,2,2,11,10G,2880,
AB,HOK,SEK ,HOK,H,2,2,11,10H,2880,
P,HOK,HOK ,SEK,A,1,5,11,1A,2880,
AB,HOK,HOK ,SEK,A,1,5,11,1B,2880,
P,SEK,HOK ,SEK,H,1,5,11,1C,2880,
AB,SEK,HOK ,SEK,H,1,5,11,1D,2880,
P,SEK,SEK ,SEK,H,1,5,11,1E,2880,
AB,SEK,SEK ,SEK,H,1,5,11,1F,2880,
P,HOK,SEK ,SEK,A,1,5,11,1G,2880,
AB,HOK,SEK ,SEK,A,1,5,11,1H,2880,
P,HOK,HOK ,SEK,A,1,5,11,2A,2880,
AB,HOK,HOK ,SEK,A,1,1,11,2B,2880,
P,SEK,HOK ,SEK,H,1,1,11,2C,2880,
AB,SEK,HOK ,SEK,H,1,1,11,2D,2880,
P,SEK,SEK ,SEK,H,1,1,11,2E,2880,
AB,SEK,SEK ,SEK,H,1,1,11,2F,2880,
P,HOK,SEK ,SEK,A,1,1,11,2G,2880,
AB,HOK,SEK ,SEK,A,1,1,11,2H,2880,
P,HOK,HOK ,SEK,A,1,1,11,3A,2880,
AB,HOK,HOK ,SEK,A,1,1,11,3B,2880,
P,SEK,HOK ,SEK,H,1,1,11,3C,2880,
AB,SEK,HOK ,SEK,H,1,1,11,3D,2880,
P,SEK,SEK ,SEK,H,1,1,11,3E,2880,
AB,SEK,SEK ,SEK,H,1,1,11,3F,2880,
P,HOK,SEK ,SEK,A,1,1,11,3G,2880,
AB,HOK,SEK ,SEK,A,1,1,11,3H,2880,
P,HOK,HOK ,SEK,A,1,1,11,4A,2880,
AB,HOK,HOK ,SEK,A,1,1,11,4B,2880,
P,SEK,HOK ,SEK,H,1,1,11,4C,2880,
AB,SEK,HOK ,SEK,H,1,1,11,4D,2880,
P,SEK,SEK ,SEK,H,1,1,11,4E,2880,
AB,SEK,SEK ,SEK,H,1,1,11,4F,2880,
P,HOK,SEK ,SEK,A,1,1,11,4G,2880,
AB,HOK,SEK ,SEK,A,1,1,11,4H,2880,
P,HOK,HOK ,SEK,A,1,1,11,5A,2880,
AB,HOK,HOK ,SEK,A,1,1,11,5B,2880,
P,SEK,HOK ,SEK,H,1,1,11,5C,2880,
AB,SEK,HOK ,SEK,H,1,1,11,5D,2880,
P,SEK,SEK ,SEK,H,1,1,11,5E,2880,
AB,SEK,SEK ,SEK,H,1,1,11,5F,2880,
P,HOK,SEK ,SEK,A,1,1,11,5G,2880,
AB,HOK,SEK ,SEK,A,1,1,11,5H,2880,
P,HOK,HOK ,HOK,H,1,5,11,6A,2880,
AB,HOK,HOK ,HOK,H,1,5,11,6B,2880,
P,SEK,HOK ,HOK,A,1,5,11,6C,2880,
AB,SEK,HOK ,HOK,A,1,5,11,6D,2880,
P,SEK,SEK ,HOK,A,1,5,11,6E,2880,
AB,SEK,SEK ,HOK,A,1,5,11,6F,2880,
P,HOK,SEK ,HOK,H,1,5,11,6G,2880,
AB,HOK,SEK ,HOK,H,1,5,11,6H,2880,
P,HOK,HOK ,HOK,H,1,5,11,7A,2880,
AB,HOK,HOK ,HOK,H,1,5,11,7B,2880,
P,SEK,HOK ,HOK,A,1,5,11,7C,2880,
AB,SEK,HOK ,HOK,A,1,5,11,7D,2880,
P,SEK,SEK ,HOK,A,1,5,11,7E,2880,
AB,SEK,SEK ,HOK,A,1,5,11,7F,2880,
P,HOK,SEK ,HOK,H,1,5,11,7G,2880,
AB,HOK,SEK ,HOK,H,1,5,11,7H,2880,
P,HOK,HOK ,HOK,H,1,5,11,8A,2880,
AB,HOK,HOK ,HOK,H,1,5,11,8B,2880,
P,SEK,HOK ,HOK,A,1,5,11,8C,2880,
AB,SEK,HOK ,HOK,A,1,5,11,8D,2880,
P,SEK,SEK ,HOK,A,1,5,11,8E,2880,
AB,SEK,SEK ,HOK,A,1,5,11,8F,2880,
P,HOK,SEK ,HOK,H,1,5,11,8G,2880,
AB,HOK,SEK ,HOK,H,1,5,11,8H,2880,
P,HOK,HOK ,HOK,H,1,4,11,9A,2880,
AB,HOK,HOK ,HOK,H,1,4,11,9B,2880,
P,SEK,HOK ,HOK,A,1,4,11,9C,2880,
AB,SEK,HOK ,HOK,A,1,4,11,9D,2880,
P,SEK,SEK ,HOK,A,1,4,11,9E,2880,
AB,SEK,SEK ,HOK,A,1,4,11,9FR,2880,
P,HOK,SEK ,HOK,H,1,4,11,9G,2880,
AB,HOK,SEK ,HOK,H,1,4,11,9H,2880,
P,HOK,HOK ,HOK,H,1,4,11,10A,2880,
AB,HOK,HOK ,HOK,H,1,4,11,10B,2880,
P,SEK,HOK ,HOK,A,1,4,11,10C,2880,
AB,SEK,HOK ,HOK,A,1,4,11,10D,2880,
P,SEK,SEK ,HOK,A,1,4,11,10E,2880,
AB,SEK,SEK ,HOK,A,1,4,11,10F,2880,
P,HOK,SEK ,HOK,H,1,4,11,10G,2880,
AB,HOK,SEK ,HOK,H,1,4,11,10H,2880,
P,HOK,HOK ,SEK,A,2,5,11,1A,4320,
AB,HOK,HOK ,SEK,A,2,5,11,1B,4320,
P,SEK,HOK ,SEK,H,2,5,11,1C,4320,
AB,SEK,HOK ,SEK,H,2,5,11,1D,4320,
P,SEK,SEK ,SEK,H,2,5,11,1E,4320,
AB,SEK,SEK ,SEK,H,2,5,11,1F,4320,
P,HOK,SEK ,SEK,A,2,5,11,1G,4320,
AB,HOK,SEK ,SEK,A,2,5,11,1H,4320,
P,HOK,HOK ,SEK,A,2,5,11,2A,4320,
AB,HOK,HOK ,SEK,A,2,5,11,2B,4320,
P,SEK,HOK ,SEK,H,2,5,11,2C,4320,
AB,SEK,HOK ,SEK,H,2,5,11,2D,4320,
P,SEK,SEK ,SEK,H,2,5,11,2E,4320,
AB,SEK,SEK ,SEK,H,2,5,11,2F,4320,
P,HOK,SEK ,SEK,A,2,5,11,2G,4320,
AB,HOK,SEK ,SEK,A,2,5,11,2H,4320,
P,HOK,HOK ,SEK,A,2,5,11,3A,4320,
AB,HOK,HOK ,SEK,A,2,5,11,3B,4320,
P,SEK,HOK ,SEK,H,2,5,11,3C,4320,
AB,SEK,HOK ,SEK,H,2,5,11,3D,4320,
P,SEK,SEK ,SEK,H,2,5,11,3E,4320,
AB,SEK,SEK ,SEK,H,2,5,11,3F,4320,
P,HOK,SEK ,SEK,A,2,5,11,3G,4320,
AB,HOK,SEK ,SEK,A,2,5,11,3H,4320,
P,HOK,HOK ,SEK,A,2,4,11,4A,4320,
AB,HOK,HOK ,SEK,A,2,4,11,4B,4320,
P,SEK,HOK ,SEK,H,2,4,11,4C,4320,
AB,SEK,HOK ,SEK,H,2,4,11,4D,4320,
P,SEK,SEK ,SEK,H,2,4,11,4E,4320,
AB,SEK,SEK ,SEK,H,2,4,11,4F,4320,
P,HOK,SEK ,SEK,A,2,4,11,4G,4320,
AB,HOK,SEK ,SEK,A,2,4,11,4H,4320,
P,HOK,HOK ,SEK,A,2,4,11,5A,4320,
AB,HOK,HOK ,SEK,A,2,4,11,5B,4320,
P,SEK,HOK ,SEK,H,2,4,11,5C,4320,
AB,SEK,HOK ,SEK,H,2,4,11,5D,4320,
P,SEK,SEK ,SEK,H,2,4,11,5E,4320,
AB,SEK,SEK ,SEK,H,2,4,11,5F,4320,
P,HOK,SEK ,SEK,A,2,4,11,5G,4320,
AB,HOK,SEK ,SEK,A,2,4,11,5H,4320,
P,HOK,HOK ,HOK,H,2,4,11,6A,4320,
AB,HOK,HOK ,HOK,H,2,4,11,6B,4320,
P,SEK,HOK ,HOK,A,2,4,11,6C,4320,
AB,SEK,HOK ,HOK,A,2,4,11,6D,4320,
P,SEK,SEK ,HOK,A,2,4,11,6E,4320,
AB,SEK,SEK ,HOK,A,2,4,11,6F,4320,
P,HOK,SEK ,HOK,H,2,4,11,6G,4320,
AB,HOK,SEK ,HOK,H,2,4,11,6H,4320,
P,HOK,HOK ,HOK,H,2,3,11,7A,4320,
AB,HOK,HOK ,HOK,H,2,3,11,7B,4320,
P,SEK,HOK ,HOK,A,2,3,11,7C,4320,
AB,SEK,HOK ,HOK,A,2,3,11,7D,4320,
P,SEK,SEK ,HOK,A,2,3,11,7E,4320,
AB,SEK,SEK ,HOK,A,2,3,11,7F,4320,
P,HOK,SEK ,HOK,H,2,3,11,7G,4320,
AB,HOK,SEK ,HOK,H,2,3,11,7H,4320,
P,HOK,HOK ,HOK,H,2,3,11,8A,4320,
AB,HOK,HOK ,HOK,H,2,3,11,8B,4320,
P,SEK,HOK ,HOK,A,2,3,11,8C,4320,
AB,SEK,HOK ,HOK,A,2,3,11,8D,4320,
P,SEK,SEK ,HOK,A,2,3,11,8E,4320,
AB,SEK,SEK ,HOK,A,2,3,11,8F,4320,
P,HOK,SEK ,HOK,H,2,3,11,8G,4320,
AB,HOK,SEK ,HOK,H,2,3,11,8H,4320,
P,HOK,HOK ,HOK,H,2,3,11,9A,4320,
AB,HOK,HOK ,HOK,H,2,3,11,9B,4320,
P,SEK,HOK ,HOK,A,2,3,11,9C,4320,
AB,SEK,HOK ,HOK,A,2,3,11,9D,4320,
P,SEK,SEK ,HOK,A,2,3,11,9E,4320,
AB,SEK,SEK ,HOK,A,2,3,11,9F,4320,
P,HOK,SEK ,HOK,H,2,3,11,9G,4320,
AB,HOK,SEK ,HOK,H,2,3,11,9H,4320,
P,HOK,HOK ,HOK,H,2,2,11,10A,4320,
AB,HOK,HOK ,HOK,H,2,2,11,10B,4320,
P,SEK,HOK ,HOK,A,2,2,11,10C,4320,
AB,SEK,HOK ,HOK,A,2,2,11,10D,4320,
P,SEK,SEK ,HOK,A,2,2,11,10E,4320,
AB,SEK,SEK ,HOK,A,2,2,11,10F,4320,
P,HOK,SEK ,HOK,H,2,2,11,10G,4320,
AB,HOK,SEK ,HOK,H,2,2,11,10H,4320,
P,HOK,HOK ,SEK,A,1,5,11,1A,4320,
AB,HOK,HOK ,SEK,A,1,5,11,1B,4320,
P,SEK,HOK ,SEK,H,1,5,11,1C,4320,
AB,SEK,HOK ,SEK,H,1,5,11,1D,4320,
P,SEK,SEK ,SEK,H,1,5,11,1E,4320,
AB,SEK,SEK ,SEK,H,1,5,11,1F,4320,
P,HOK,SEK ,SEK,A,1,5,11,1G,4320,
AB,HOK,SEK ,SEK,A,1,5,11,1H,4320,
P,HOK,HOK ,SEK,A,1,5,11,2A,4320,
AB,HOK,HOK ,SEK,A,1,1,11,2B,4320,
P,SEK,HOK ,SEK,H,1,1,11,2C,4320,
