treatment,tree_id,deploy,metabolite,hfa,site_num,tree_num,decomp_day,well_id,time,od_raw
P,HOK,HOK ,HOK,H,2,3,11,8A,960,
AB,HOK,HOK ,HOK,H,2,3,11,8B,960,
P,SEK,HOK ,HOK,A,2,3,11,8C,960,
AB,SEK,HOK ,HOK,A,2,3,11,8D,960,
P,SEK,SEK ,HOK,A,2,3,11,8E,960,
AB,SEK,SEK ,HOK,A,2,3,11,8F,960,
P,HOK,SEK ,HOK,H,2,3,11,8G,960,
AB,HOK,SEK ,HOK,H,2,3,11,8H,960,
P,HOK,HOK ,HOK,H,2,3,11,9A,960,
AB,HOK,HOK ,HOK,H,2,3,11,9B,960,
P,SEK,HOK ,HOK,A,2,3,11,9C,960,
AB,SEK,HOK ,HOK,A,2,3,11,9D,960,
P,SEK,SEK ,HOK,A,2,3,11,9E,960,
AB,SEK,SEK ,HOK,A,2,3,11,9F,960,
P,HOK,SEK ,HOK,H,2,3,11,9G,960,
AB,HOK,SEK ,HOK,H,2,3,11,9H,960,
P,HOK,HOK ,HOK,H,2,2,11,10A,960,
AB,HOK,HOK ,HOK,H,2,2,11,10B,960,
P,SEK,HOK ,HOK,A,2,2,11,10C,960,
AB,SEK,HOK ,HOK,A,2,2,11,10D,960,
P,SEK,SEK ,HOK,A,2,2,11,10E,960,
AB,SEK,SEK ,HOK,A,2,2,11,10F,960,
P,HOK,SEK ,HOK,H,2,2,11,10G,960,
AB,HOK,SEK ,HOK,H,2,2,11,10H,960,
P,HOK,HOK ,SEK,A,1,5,11,1A,960,
AB,HOK,HOK ,SEK,A,1,5,11,1B,960,
P,SEK,HOK ,SEK,H,1,5,11,1C,960,
AB,SEK,HOK ,SEK,H,1,5,11,1D,960,
P,SEK,SEK ,SEK,H,1,5,11,1E,960,
AB,SEK,SEK ,SEK,H,1,5,11,1F,960,
P,HOK,SEK ,SEK,A,1,5,11,1G,960,
AB,HOK,SEK ,SEK,A,1,5,11,1H,960,
P,HOK,HOK ,SEK,A,1,5,11,2A,960,
AB,HOK,HOK ,SEK,A,1,1,11,2B,960,
P,SEK,HOK ,SEK,H,1,1,11,2C,960,
AB,SEK,HOK ,SEK,H,1,1,11,2D,960,
P,SEK,SEK ,SEK,H,1,1,11,2E,960,
AB,SEK,SEK ,SEK,H,1,1,11,2F,960,
P,HOK,SEK ,SEK,A,1,1,11,2G,960,
AB,HOK,SEK ,SEK,A,1,1,11,2H,960,
P,HOK,HOK ,SEK,A,1,1,11,3A,960,
AB,HOK,HOK ,SEK,A,1,1,11,3B,960,
P,SEK,HOK ,SEK,H,1,1,11,3C,960,
AB,SEK,HOK ,SEK,H,1,1,11,3D,960,
P,SEK,SEK ,SEK,H,1,1,11,3E,960,
AB,SEK,SEK ,SEK,H,1,1,11,3F,960,
